KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
 6584555|  1|  0|J18553411+4201081|71.947|17.056| 4882|   80| 4711|   75|13.33| 0.25|171.54| 3.42|GO,SEIS_INTEREST,PUBLIC                      |4624| 72| 0.31| 0.04|    1.21|    0.11|    0.11|    4.97|    0.17|    0.18|    3.128|    0.010|    0.010|    0.00986|    0.00027|    0.00026|4669| 72| 0.40| 0.04|    1.24|    0.11|    0.10|    5.03|    0.18|    0.17|    3.130|    0.010|    0.010|    0.00979|    0.00026|    0.00025|283.892150|+42.018929
 6756017|  1|  0|J18551116+4214414|72.140|17.205| 4890|   73| 4671|   67| 3.98| 0.12| 32.98| 1.32|PUBLIC                                       |4609| 86|-0.07| 0.06|    1.10|    0.19|    0.15|   10.82|    0.70|    0.59|    2.411|    0.018|    0.016|    0.00087|    0.00004|    0.00004|4658| 86|-0.05| 0.06|    1.11|    0.19|    0.15|   10.86|    0.73|    0.61|    2.413|    0.018|    0.016|    0.00087|    0.00004|    0.00004|283.796510|+42.244839
 6841449|  1|  0|J18544891+4220482|72.214|17.305| 4745|   90| 4570|   84| 4.84| 0.10| 44.19| 0.92|PUBLIC                                       |4529| 93|-0.22| 0.06|    1.19|    0.12|    0.11|    9.72|    0.40|    0.38|    2.538|    0.010|    0.010|    0.00130|    0.00004|    0.00004|4599| 93|-0.23| 0.06|    1.21|    0.12|    0.11|    9.79|    0.41|    0.37|    2.540|    0.010|    0.011|    0.00129|    0.00004|    0.00004|283.703830|+42.346729
 6755907|  1|  0|J18545958+4214396|72.126|17.238| 4728|   71| 4570|   66| 4.79| 0.10| 43.41| 0.93|KASC,PUBLIC                                  |4420| 90|-0.16| 0.06|    1.15|    0.10|    0.12|    9.67|    0.35|    0.40|    2.528|    0.009|    0.012|    0.00127|    0.00004|    0.00004|4519| 90|-0.15| 0.06|    1.17|    0.12|    0.11|    9.74|    0.38|    0.39|    2.529|    0.010|    0.011|    0.00127|    0.00004|    0.00004|283.748260|+42.244350
 6755830|  1|  0|J18545053+4217470|72.167|17.283| 4793|   89| 4634|   84| 4.48| 0.09| 42.70| 1.51|RC,PUBLIC                                    |4553| 78| 0.14| 0.05|    1.44|    0.17|    0.18|   10.94|    0.48|    0.53|    2.519|    0.015|    0.017|    0.00110|    0.00003|    0.00003|4616| 78| 0.20| 0.05|    1.50|    0.16|    0.16|   11.08|    0.46|    0.45|    2.524|    0.014|    0.016|    0.00110|    0.00003|    0.00003|283.710540|+42.296398
 6841322|  1|  0|J18543771+4221161|72.208|17.340| 4811|   93| 4599|   85| 3.60| 0.11| 30.98| 1.19|PUBLIC                                       |4534| 98|-0.35| 0.07|    1.28|    0.23|    0.20|   12.10|    0.79|    0.76|    2.378|    0.018|    0.020|    0.00072|    0.00003|    0.00003|4602| 98|-0.39| 0.07|    1.32|    0.22|    0.21|   12.26|    0.76|    0.77|    2.382|    0.018|    0.019|    0.00072|    0.00003|    0.00003|283.657170|+42.354481
 6755958|  1|  0|J18550412+4217557|72.185|17.244| 4891|   77| 4682|   71| 4.87| 0.11| 43.09| 0.94|PUBLIC                                       |4575|103|-0.49| 0.07|    1.10|    0.12|    0.11|    9.43|    0.42|    0.39|    2.531|    0.011|    0.011|    0.00131|    0.00004|    0.00004|4633|103|-0.55| 0.07|    1.12|    0.13|    0.11|    9.49|    0.43|    0.40|    2.533|    0.011|    0.011|    0.00131|    0.00004|    0.00004|283.767180|+42.298828
 6584091|  1|  0|J18544535+4201177|71.892|17.198| 4829|   95| 4604|   86| 4.12| 0.11| 34.37| 1.07|RC,PUBLIC                                    |4535| 79| 0.13| 0.05|    1.07|    0.16|    0.13|   10.47|    0.61|    0.50|    2.426|    0.014|    0.013|    0.00093|    0.00004|    0.00004|4603| 79| 0.19| 0.05|    1.08|    0.16|    0.15|   10.51|    0.65|    0.57|    2.429|    0.013|    0.013|    0.00093|    0.00004|    0.00004|283.689000|+42.021610
 6755373|  1|  0|J18535856+4215473|72.073|17.420| 4810|   81| 4651|   76| 5.14| 0.12| 50.26| 1.21|PUBLIC                                       |4521| 87|-0.07| 0.06|    1.35|    0.15|    0.14|    9.72|    0.44|    0.41|    2.591|    0.012|    0.011|    0.00147|    0.00005|    0.00005|4593| 87|-0.05| 0.06|    1.38|    0.16|    0.14|    9.81|    0.45|    0.41|    2.594|    0.012|    0.012|    0.00146|    0.00005|    0.00005|283.493990|+42.263161
 6500623|  1|  0|J18532963+4157352|71.743|17.394| 4334|   64| 4189|   60| 1.98| 0.05| 14.81| 0.55|KASC,PUBLIC,LUMINOUS_RGB                     |4319| 83| 0.02| 0.05|    1.45|    0.20|    0.20|   18.87|    0.95|    1.06|    2.047|    0.017|    0.017|    0.00022|    0.00001|    0.00001|4445| 83| 0.09| 0.05|    1.54|    0.23|    0.24|   19.26|    1.09|    1.32|    2.055|    0.016|    0.018|    0.00021|    0.00001|    0.00001|283.373470|+41.959801
 6583850|  1|  0|J18541513+4202326|71.877|17.292| 5260|  104| 5025|   95| 4.50| 0.11| 32.26| 1.95|PUBLIC                                       |5033|114|-0.75| 0.08|        |        |        |        |        |        |         |         |         |           |           |           |4969|114|-0.92| 0.08|    0.81|    0.15|    0.08|    9.06|    0.54|    0.32|    2.438|    0.021|    0.017|    0.00110|    0.00004|    0.00004|283.563050|+42.042412
 3323943|  1|  1|J19022255+3829390|69.075|14.512| 4835|   82| 4592|   74| 4.02| 0.08| 33.04| 1.28|GOLD,KASC,PUBLIC                             |4626| 92|-0.19| 0.06|    1.06|    0.15|    0.12|   10.62|    0.53|    0.47|    2.412|    0.017|    0.015|    0.00089|    0.00002|    0.00002|4670| 92|-0.21| 0.06|    1.08|    0.15|    0.12|   10.68|    0.51|    0.47|    2.414|    0.018|    0.016|    0.00089|    0.00002|    0.00003|285.593960|+38.494179
 3217051|  1|  1|J19030505+3820112|68.982|14.322| 4735|   76| 4551|   71| 4.20| 0.08| 37.14| 1.08|GOLD,KASC,GO,RC,PUBLIC                       |4508| 74| 0.24| 0.05|    1.23|    0.15|    0.15|   10.82|    0.50|    0.51|    2.458|    0.013|    0.014|    0.00097|    0.00003|    0.00003|4583| 74| 0.33| 0.05|    1.28|    0.13|    0.19|   11.02|    0.41|    0.66|    2.462|    0.014|    0.017|    0.00097|    0.00003|    0.00003|285.771060|+38.336449
 3216467|  1|  0|J19020873+3821317|68.928|14.500| 4646|   75| 4474|   70| 3.77| 0.09| 31.61| 1.00|GO,ROTATOR,PUBLIC                            |4389| 70| 0.35| 0.04|    1.11|    0.13|    0.12|   11.26|    0.52|    0.48|    2.382|    0.014|    0.014|    0.00078|    0.00003|    0.00003|4496| 70| 0.48| 0.04|    1.14|    0.15|    0.14|   11.36|    0.58|    0.52|    2.385|    0.015|    0.014|    0.00078|    0.00003|    0.00003|285.536380|+38.358810
 3096473|  1|  0|J19012952+3812423|68.736|14.560| 4683|   72| 4477|   66| 4.16| 0.12| 36.17| 1.64|PUBLIC                                       |4458| 88|-0.11| 0.06|    1.07|    0.21|    0.16|   10.35|    0.76|    0.56|    2.436|    0.022|    0.019|    0.00096|    0.00004|    0.00004|4546| 88|-0.09| 0.06|    1.15|    0.20|    0.19|   10.65|    0.69|    0.68|    2.444|    0.021|    0.020|    0.00095|    0.00004|    0.00004|285.373020|+38.211750
 3216638|  1|  0|J19022742+3818565|68.912|14.427| 4435|   69| 4269|   64| 2.49| 0.08| 18.99| 0.74|GO,PUBLIC                                    |4327| 89|-0.14| 0.06|    1.18|    0.21|    0.18|   15.05|    1.00|    0.96|    2.154|    0.019|    0.018|    0.00034|    0.00002|    0.00002|4450| 89|-0.11| 0.06|    1.27|    0.21|    0.19|   15.48|    1.00|    0.97|    2.162|    0.018|    0.019|    0.00034|    0.00002|    0.00002|285.614290|+38.315708
 3424384|  1|  0|J19002721+3835321|69.015|14.897| 4796|   82| 4574|   75| 4.15| 0.15| 29.56| 2.09|PUBLIC                                       |4622| 99|-0.37| 0.07|    0.86|    0.06|    0.05|    9.82|    0.32|    0.27|    2.394|    0.016|    0.015|    0.00092|    0.00005|    0.00005|4667| 99|-0.42| 0.07|    0.86|    0.07|    0.04|    9.81|    0.35|    0.27|    2.395|    0.016|    0.015|    0.00092|    0.00005|    0.00005|285.113400|+38.592258
 3526625|  1|  0|J19014365+3840029|69.188|14.697| 4851|   85| 4635|   78| 4.19| 0.09| 35.27| 1.93|PUBLIC                                       |4574| 82| 0.05| 0.05|    1.10|    0.20|    0.15|   10.44|    0.68|    0.52|    2.440|    0.022|    0.019|    0.00096|    0.00003|    0.00003|4632| 82| 0.10| 0.05|    1.11|    0.22|    0.17|   10.50|    0.71|    0.55|    2.442|    0.023|    0.020|    0.00096|    0.00003|    0.00003|285.431880|+38.667480
 3526061|  1|  1|J19004471+3836399|69.056|14.852| 4865|  108| 4721|  102|10.64| 0.23|127.52| 2.79|GOLD,KASC,SEIS_INTEREST,PUBLIC               |4643| 77| 0.17| 0.05|    1.23|    0.12|    0.11|    5.81|    0.23|    0.22|    3.000|    0.011|    0.011|    0.00628|    0.00019|    0.00019|4683| 77| 0.23| 0.05|    1.26|    0.13|    0.11|    5.86|    0.24|    0.22|    3.001|    0.011|    0.011|    0.00624|    0.00019|    0.00019|285.186310|+38.611111
 3424105|  1|  0|J19000206+3832494|68.939|14.954| 4614|   73| 4429|   68| 5.13| 0.10| 51.65| 1.21|PUBLIC                                       |4468| 77| 0.18| 0.05|    1.44|    0.14|    0.13|    9.97|    0.37|    0.37|    2.600|    0.011|    0.011|    0.00146|    0.00004|    0.00004|4554| 77| 0.26| 0.05|    1.49|    0.16|    0.13|   10.10|    0.42|    0.38|    2.603|    0.011|    0.011|    0.00145|    0.00004|    0.00005|285.008610|+38.547070
 3323401|  1|  0|J19013095+3829145|69.000|14.664| 4816|   80| 4588|   73| 4.04| 0.11| 32.31| 1.17|PUBLIC                                       |4541| 84| 0.00| 0.05|    0.98|    0.13|    0.07|   10.33|    0.52|    0.36|    2.403|    0.013|    0.012|    0.00089|    0.00003|    0.00003|4607| 84| 0.03| 0.05|    1.00|    0.13|    0.08|   10.40|    0.50|    0.35|    2.406|    0.013|    0.012|    0.00089|    0.00003|    0.00003|285.379000|+38.487381
 3425675|  1|  0|J19023891+3835251|69.188|14.502| 4863|   85| 4665|   79| 4.04| 0.10| 32.04| 1.04|RC,PUBLIC                                    |4642| 90|-0.15| 0.06|    0.99|    0.11|    0.08|   10.34|    0.46|    0.34|    2.403|    0.013|    0.012|    0.00089|    0.00003|    0.00003|4682| 90|-0.16| 0.06|    1.00|    0.10|    0.08|   10.38|    0.44|    0.36|    2.405|    0.012|    0.012|    0.00089|    0.00003|    0.00003|285.662140|+38.590309
 3527032|  1|  0|J19022606+3837425|69.207|14.555| 4815|  102| 4654|   95| 4.50| 0.13| 43.01| 1.18|PUBLIC                                       |4621| 91|-0.19| 0.06|    1.48|    0.19|    0.18|   10.96|    0.58|    0.56|    2.527|    0.013|    0.013|    0.00112|    0.00005|    0.00005|4666| 91|-0.21| 0.06|    1.50|    0.19|    0.17|   11.03|    0.59|    0.55|    2.529|    0.013|    0.013|    0.00112|    0.00005|    0.00005|285.608640|+38.628490
 3425476|  1|  1|J19021896+3835545|69.169|14.564| 4906|   81| 4717|   75| 4.40| 0.09| 40.24| 1.02|GOLD,KASC,GO,RC,PUBLIC                       |4662| 83| 0.02| 0.05|    1.37|    0.14|    0.13|   10.86|    0.44|    0.37|    2.500|    0.012|    0.012|    0.00106|    0.00003|    0.00003|4697| 83| 0.04| 0.05|    1.38|    0.13|    0.11|   10.90|    0.43|    0.28|    2.501|    0.011|    0.012|    0.00106|    0.00003|    0.00003|285.579040|+38.598492
 3098716|  1|  1|J19044513+3817311|69.075|14.005| 5040|   88| 4790|   80| 4.15| 0.10| 30.75| 1.64|GOLD,KASC,PUBLIC                             |4788|102|-0.46| 0.07|    0.88|    0.13|    0.05|    9.84|    0.49|    0.30|    2.403|    0.017|    0.013|    0.00093|    0.00003|    0.00003|4789|102|-0.55| 0.07|    0.86|    0.14|    0.05|    9.76|    0.52|    0.31|    2.402|    0.017|    0.013|    0.00094|    0.00003|    0.00003|286.188050|+38.291988
 3098045|  1|  1|J19034948+3812416|68.924|14.139| 4905|   87| 4662|   79| 4.13| 0.09| 34.46| 0.72|GOLD,KASC,PUBLIC                             |4730| 93|-0.24| 0.06|    1.13|    0.11|    0.10|   10.64|    0.41|    0.42|    2.435|    0.010|    0.010|    0.00094|    0.00003|    0.00003|4747| 93|-0.27| 0.06|    1.13|    0.11|    0.11|   10.66|    0.40|    0.42|    2.436|    0.010|    0.010|    0.00093|    0.00003|    0.00003|285.956180|+38.211578
 2970396|  1|  0|J19035480+3811344|68.914|14.116| 4702|   77| 4486|   70| 3.81| 0.09| 30.43| 0.71|PUBLIC                                       |4504| 86|-0.06| 0.06|    0.99|    0.11|    0.08|   10.76|    0.48|    0.33|    2.372|    0.011|    0.010|    0.00080|    0.00003|    0.00003|4581| 86|-0.04| 0.06|    1.02|    0.10|    0.09|   10.88|    0.47|    0.38|    2.375|    0.011|    0.010|    0.00079|    0.00003|    0.00003|285.978360|+38.192890
 3527708|  1|  0|J19033352+3836021|69.271|14.342| 4464|   74| 4283|   69| 1.48| 0.03|  8.96| 0.46|KASC,PUBLIC,LUMINOUS_RGB                     |4306| 90|-0.17| 0.06|    1.02|    0.20|    0.11|   20.37|    1.34|    0.84|    1.828|    0.023|    0.017|    0.00012|    0.00000|    0.00000|4435| 90|-0.14| 0.06|    1.02|    0.27|    0.13|   20.38|    1.83|    0.95|    1.829|    0.030|    0.019|    0.00012|    0.00000|    0.00000|285.889680|+38.600609
 3527891|  1|  0|J19035108+3840253|69.363|14.319| 4722|   74| 4566|   69| 3.49| 0.08| 30.97| 1.43|PUBLIC                                       |4476| 84| 0.01| 0.05|    1.40|    0.23|    0.21|   12.78|    0.76|    0.75|    2.371|    0.020|    0.022|    0.00067|    0.00002|    0.00002|4560| 84| 0.05| 0.05|    1.48|    0.26|    0.25|   13.04|    0.80|    0.80|    2.379|    0.021|    0.022|    0.00067|    0.00002|    0.00002|285.962860|+38.673721
 3426898|  1|  1|J19042962+3835044|69.331|14.168| 4847|   81| 4653|   75| 6.51| 0.13| 63.49| 1.22|GOLD,KASC,GO,SEIS_INTEREST,PUBLIC            |4609| 98|-0.35| 0.07|    1.12|    0.10|    0.10|    7.81|    0.29|    0.29|    2.700|    0.011|    0.011|    0.00235|    0.00007|    0.00007|4657| 98|-0.39| 0.07|    1.13|    0.10|    0.10|    7.85|    0.29|    0.29|    2.703|    0.010|    0.011|    0.00234|    0.00007|    0.00007|286.123440|+38.584579
 3730854|  1|  0|J19043345+3852267|69.610|14.273| 4691|   78| 4480|   71| 4.58| 0.11| 44.45| 1.44|PUBLIC                                       |4425| 79| 0.11| 0.05|    1.39|    0.17|    0.18|   10.58|    0.50|    0.54|    2.529|    0.014|    0.017|    0.00117|    0.00004|    0.00004|4522| 79| 0.18| 0.05|    1.47|    0.17|    0.18|   10.84|    0.50|    0.55|    2.535|    0.015|    0.015|    0.00115|    0.00004|    0.00004|286.139400|+38.874100
 3427629|  1|  0|J19053643+3830125|69.344|13.937| 4636|   73| 4418|   67| 3.76| 0.09| 30.60| 0.96|PUBLIC                                       |4427| 72| 0.30| 0.04|    1.04|    0.13|    0.08|   11.04|    0.52|    0.36|    2.371|    0.013|    0.011|    0.00077|    0.00003|    0.00003|4524| 72| 0.42| 0.04|    1.06|    0.14|    0.09|   11.07|    0.58|    0.36|    2.373|    0.014|    0.012|    0.00077|    0.00003|    0.00003|286.401820|+38.503479
 3529597|  1|  0|J19063175+3840417|69.584|13.842| 4977|   87| 4762|   80| 4.89| 0.11| 53.75| 1.83|GO,SEIS_INTEREST,PUBLIC                      |4795| 80| 0.09| 0.05|    2.17|    0.33|    0.25|   11.84|    0.62|    0.57|    2.630|    0.016|    0.015|    0.00131|    0.00004|    0.00004|4794| 80| 0.11| 0.05|    2.19|    0.32|    0.26|   11.85|    0.61|    0.56|    2.630|    0.015|    0.015|    0.00131|    0.00004|    0.00004|286.632290|+38.678249
 3529276|  1|  1|J19060125+3839521|69.530|13.927| 4884|   86| 4723|   81| 5.58| 0.11| 57.52| 1.21|GOLD,KASC,PUBLIC                             |4669| 92|-0.21| 0.06|    1.55|    0.15|    0.14|    9.65|    0.36|    0.37|    2.658|    0.010|    0.010|    0.00172|    0.00005|    0.00005|4702| 92|-0.24| 0.06|    1.57|    0.15|    0.15|    9.70|    0.37|    0.37|    2.660|    0.010|    0.011|    0.00172|    0.00005|    0.00005|286.505250|+38.664478
 3427850|  1|  0|J19055584+3835278|69.453|13.914| 4922|   88| 4804|   84| 3.44| 0.08| 26.76| 0.68|PUBLIC                                       |4608| 94|-0.27| 0.06|    1.05|    0.12|    0.11|   11.74|    0.53|    0.51|    2.320|    0.013|    0.013|    0.00065|    0.00002|    0.00002|4657| 94|-0.30| 0.06|    1.07|    0.12|    0.11|   11.80|    0.52|    0.48|    2.322|    0.013|    0.013|    0.00065|    0.00002|    0.00002|286.482670|+38.591080
 3529480|  1|  0|J19061973+3838374|69.535|13.864| 4852|   90| 4693|   84| 4.58| 0.11| 43.28| 1.51|RC,PUBLIC                                    |4613| 79| 0.11| 0.05|    1.44|    0.16|    0.20|   10.79|    0.44|    0.62|    2.529|    0.015|    0.017|    0.00115|    0.00004|    0.00004|4660| 79| 0.16| 0.05|    1.50|    0.13|    0.22|   10.98|    0.34|    0.67|    2.533|    0.015|    0.017|    0.00114|    0.00004|    0.00004|286.582210|+38.643742
 3528656|  1|  1|J19050492+3839005|69.440|14.089| 4639|   77| 4433|   71| 2.66| 0.06| 20.83| 0.50|GOLD,KASC,PUBLIC                             |4437|101|-0.43| 0.07|    1.34|    0.14|    0.13|   15.07|    0.63|    0.61|    2.209|    0.011|    0.012|    0.00039|    0.00001|    0.00001|4531|101|-0.47| 0.07|    1.37|    0.15|    0.14|   15.20|    0.66|    0.62|    2.211|    0.011|    0.012|    0.00039|    0.00001|    0.00001|286.270510|+38.650162
 3529097|  1|  0|J19054550+3836148|69.452|13.950| 4733|   77| 4519|   70| 3.89| 0.10| 34.26| 0.87|PUBLIC                                       |4518| 77| 0.17| 0.05|    1.30|    0.16|    0.14|   11.60|    0.58|    0.52|    2.423|    0.012|    0.012|    0.00083|    0.00003|    0.00003|4591| 77| 0.25| 0.05|    1.33|    0.19|    0.16|   11.67|    0.70|    0.60|    2.425|    0.012|    0.012|    0.00083|    0.00003|    0.00003|286.439610|+38.604130
 3631092|  1|  1|J19071907+3843427|69.696|13.722| 5137|  100| 4951|   93|13.94| 0.25|191.53| 6.22|GOLD,KASC,PUBLIC                             |4902| 86|-0.05| 0.06|    1.52|    0.18|    0.17|    5.22|    0.22|    0.22|    3.185|    0.014|    0.015|    0.01071|    0.00027|    0.00027|4873| 86|-0.07| 0.06|    1.50|    0.18|    0.17|    5.18|    0.23|    0.22|    3.183|    0.014|    0.015|    0.01073|    0.00027|    0.00028|286.829470|+38.728539
 3631402|  1|  1|J19074964+3847308|69.797|13.657| 4883|   91| 4682|   84| 4.85| 0.09| 46.33| 1.21|GOLD,KASC,GO,RC,PUBLIC                       |4653| 79| 0.12| 0.05|    1.40|    0.22|    0.16|   10.29|    0.61|    0.47|    2.560|    0.014|    0.013|    0.00129|    0.00004|    0.00004|4690| 79| 0.17| 0.05|    1.44|    0.28|    0.18|   10.37|    0.76|    0.51|    2.563|    0.016|    0.014|    0.00128|    0.00004|    0.00005|286.956850|+38.791908
 3326790|  1|  1|J19065295+3829474|69.442|13.705| 4823|   84| 4603|   77| 3.58| 0.08| 26.29| 0.56|GOLD,KASC,SEIS_OUTLIER                       |4529| 91|-0.18| 0.06|    0.90|    0.06|    0.05|   10.95|    0.30|    0.28|    2.316|    0.008|    0.008|    0.00069|    0.00002|    0.00002|4599| 91|-0.18| 0.06|    0.92|    0.06|    0.06|   10.97|    0.32|    0.30|    2.317|    0.010|    0.009|    0.00069|    0.00002|    0.00002|286.720670|+38.496510
 3530520|  1|  1|J19075613+3839270|69.679|13.583| 4760|   79| 4554|   72| 3.90| 0.08| 35.21| 1.98|GOLD,KASC,GO,PUBLIC                          |4457| 71| 0.31| 0.04|    1.31|    0.25|    0.21|   11.62|    0.75|    0.67|    2.426|    0.024|    0.024|    0.00084|    0.00003|    0.00003|4546| 71| 0.43| 0.04|    1.43|    0.30|    0.27|   11.96|    0.84|    0.83|    2.437|    0.025|    0.028|    0.00084|    0.00003|    0.00003|286.983890|+38.657509
 3429738|  1|  0|J19084683+3835523|69.693|13.408| 4818|   94| 4711|   90| 5.88| 0.14| 55.83| 1.38|PUBLIC                                       |4515| 94|-0.24| 0.06|    1.08|    0.13|    0.12|    8.25|    0.39|    0.38|    2.639|    0.011|    0.013|    0.00192|    0.00007|    0.00007|4589| 94|-0.26| 0.06|    1.11|    0.13|    0.12|    8.33|    0.37|    0.38|    2.641|    0.011|    0.012|    0.00192|    0.00007|    0.00007|287.195130|+38.597881
 3530823|  1|  0|J19082428+3836125|69.667|13.477| 5042|   86| 4770|   78| 4.61| 0.09| 45.55| 1.19|KASC,SEIS_OUTLIER                            |4744| 86|-0.06| 0.06|    1.67|    0.19|    0.14|   11.27|    0.50|    0.38|    2.557|    0.012|    0.012|    0.00117|    0.00003|    0.00003|4757| 86|-0.06| 0.06|    1.67|    0.19|    0.14|   11.28|    0.50|    0.38|    2.558|    0.012|    0.012|    0.00117|    0.00003|    0.00003|287.101170|+38.603481
 3531478|  1|  1|J19092089+3838265|69.779|13.324| 5158|   95| 4996|   89|17.11| 1.18|242.16| 4.64|GOLD,KASC,PUBLIC                             |4886| 87|-0.07| 0.06|        |        |        |        |        |        |         |         |         |           |           |           |4861| 87|-0.09| 0.06|        |        |        |        |        |        |         |         |         |           |           |           |287.337070|+38.640701
 3532113|  1|  0|J19101852+3837462|69.848|13.149| 4797|   83| 4557|   75| 4.92| 0.10| 46.14| 1.35|PUBLIC                                       |4529| 91|-0.17| 0.06|    1.24|    0.15|    0.14|    9.75|    0.45|    0.45|    2.553|    0.014|    0.014|    0.00134|    0.00004|    0.00004|4599| 91|-0.17| 0.06|    1.27|    0.15|    0.14|    9.83|    0.45|    0.43|    2.556|    0.014|    0.014|    0.00134|    0.00004|    0.00004|287.577180|+38.629501
 3430048|  1|  0|J19091460+3835559|69.732|13.326| 5079|   97| 4800|   87| 3.39| 0.12| 35.70| 1.63|PUBLIC                                       |4663| 79| 0.12| 0.05|    2.51|    0.41|    0.35|   15.81|    1.00|    0.93|    2.441|    0.020|    0.020|    0.00064|    0.00003|    0.00003|4697| 79| 0.17| 0.05|    2.65|    0.46|    0.40|   16.09|    1.10|    0.98|    2.447|    0.020|    0.020|    0.00063|    0.00003|    0.00003|287.310880|+38.598862
 3222670|  1|  0|J19112583+3819562|69.664|12.826| 5050|  108| 4881|  101| 4.05| 0.10| 34.73| 1.84|PUBLIC                                       |4763| 94|-0.26| 0.06|    1.25|    0.25|    0.21|   11.13|    0.80|    0.70|    2.440|    0.023|    0.024|    0.00090|    0.00003|    0.00003|4771| 94|-0.31| 0.06|    1.25|    0.24|    0.20|   11.13|    0.78|    0.68|    2.439|    0.022|    0.022|    0.00090|    0.00003|    0.00003|287.857640|+38.332298
 3222220|  1|  0|J19104824+3818427|69.593|12.929| 4733|   84| 4572|   78| 3.70| 0.08| 30.50| 0.82|PUBLIC                                       |4532| 82| 0.04| 0.05|    1.13|    0.13|    0.12|   11.47|    0.52|    0.50|    2.373|    0.012|    0.013|    0.00075|    0.00003|    0.00003|4601| 82| 0.09| 0.05|    1.15|    0.14|    0.12|   11.53|    0.55|    0.51|    2.376|    0.012|    0.012|    0.00075|    0.00003|    0.00003|287.701020|+38.311871
 3633057|  1|  0|J19102671+3846290|69.995|13.184| 4805|   81| 4580|   74| 5.22| 0.10| 49.91| 1.36|PUBLIC                                       |4679| 95|-0.27| 0.06|    1.31|    0.15|    0.14|    9.56|    0.40|    0.38|    2.594|    0.013|    0.013|    0.00150|    0.00004|    0.00004|4709| 95|-0.31| 0.06|    1.33|    0.14|    0.13|    9.60|    0.38|    0.38|    2.595|    0.014|    0.012|    0.00150|    0.00004|    0.00004|287.611330|+38.774719
 3633152|  1|  0|J19103603+3845504|69.998|13.152| 4729|  176| 4536|  162| 3.94| 0.10| 32.75| 0.88|PUBLIC                                       |4435| 97|-0.34| 0.07|    1.06|    0.14|    0.12|   10.70|    0.54|    0.51|    2.403|    0.013|    0.013|    0.00086|    0.00003|    0.00003|4530| 97|-0.36| 0.07|    1.09|    0.13|    0.13|   10.83|    0.54|    0.52|    2.407|    0.013|    0.014|    0.00086|    0.00003|    0.00003|287.650150|+38.764011
 3532734|  1|  0|J19111567+3838265|69.938|12.984| 4992|   87| 4744|   79|11.92| 0.24|151.11| 5.17|GO,SEIS_INTEREST,PUBLIC                      |4801| 89|-0.14| 0.06|        |        |        |        |        |        |         |         |         |           |           |           |4799| 89|-0.16| 0.06|        |        |        |        |        |        |         |         |         |           |           |           |287.815310|+38.640709
 3222834|  1|  0|J19113725+3823205|69.733|12.816| 4871|   85| 4711|   80|13.87| 0.33|169.04| 3.27|HALO,GO,SEIS_INTEREST,PUBLIC                 |4633| 87|-0.08| 0.06|    0.99|    0.11|    0.08|    4.51|    0.21|    0.15|    3.125|    0.010|    0.009|    0.01075|    0.00033|    0.00036|4675| 87|-0.07| 0.06|    1.01|    0.11|    0.09|    4.54|    0.20|    0.16|    3.126|    0.010|    0.009|    0.01072|    0.00034|    0.00035|287.905240|+38.389030
 3432732|  1|  0|J19125731+3834515|70.023|12.658| 5123|   89| 4953|   84| 6.34| 0.11| 79.10| 2.10|GO,SEIS_INTEREST,PUBLIC                      |4943| 75| 0.22| 0.05|    2.63|    0.30|    0.25|   10.61|    0.43|    0.41|    2.806|    0.013|    0.013|    0.00220|    0.00006|    0.00005|4903| 75| 0.26| 0.05|    2.58|    0.27|    0.26|   10.54|    0.43|    0.41|    2.804|    0.013|    0.013|    0.00220|    0.00006|    0.00005|288.238830|+38.580978
 3103685|  1|  0|J19113640+3815554|69.616|12.767| 4247|   70| 4116|   66| 2.25| 0.05| 16.94| 0.50|GO,PUBLIC                                    |4203| 77| 0.18| 0.05|    1.26|    0.14|    0.15|   16.49|    0.75|    0.79|    2.101|    0.014|    0.014|    0.00028|    0.00001|    0.00001|4359| 77| 0.29| 0.05|    1.33|    0.16|    0.15|   16.85|    0.75|    0.73|    2.108|    0.014|    0.014|    0.00028|    0.00001|    0.00001|287.901670|+38.265388
