KIC|P13|G|2MASS|GLAT|GLON|Teffc|e_Teffc|Teff|e_Teff|Dnu|e_Dnu|numax|e_numax|Notes|Teff1|e_Teff1|[M/H]1|e_[M/H]1|M1|E_M1|e_M1|R1|E_R1|e_R1|log.g1|E_log.g1|e_log.g1|rho1|E_rho1|e_rho1|Teff2|e_Teff2|[M/H]2|e_[M/H]2|M2|E_M2|e_M2|R2|E_R2|e_R2|log.g2|E_log.g2|e_log.g2|rho2|E_rho2|e_rho2|_RA|_DE
#  | | | |deg|deg|K|K|K|K|uHz|uHz|uHz|uHz| |K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|K|K|[Sun]|[Sun]|[Msun]|[Msun]|[Msun]|[Rsun]|[Rsun]|[Rsun]|[cm/s2]|[cm/s2]|[cm/s2]|[Sun]|[Sun]|[Sun]|deg|deg
# --------|---|---|-----------------|------|------|-----|-----|-----|-----|-----|-----|------|-----|---------------------------------------------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----|---|-----|-----|--------|--------|--------|--------|--------|--------|---------|---------|---------|-----------|-----------|-----------|----------|----------
 9726045|  1|  0|J19502672+4625332|80.329|10.029| 4154|   65|     |     | 0.80| 0.02|  4.33| 0.50|KASC,GO,PUBLIC,LUMINOUS_RGB                  |4038| 91|-0.19| 0.06|    1.07|    0.25|    0.21|   31.04|    2.40|    1.93|    1.476|    0.034|    0.025|    0.00003|    0.00000|    0.00000|4196| 91|-0.14| 0.06|    1.26|    0.59|    0.37|   33.00|    4.71|    3.49|    1.503|    0.052|    0.046|    0.00003|    0.00000|    0.00000|297.611330|+46.425900
 9602917|  1|  0|J19485607+4617354|80.083|10.193| 4845|   89| 4714|   85| 3.95| 0.09| 31.66| 0.67|PUBLIC                                       |4628| 93|-0.23| 0.06|    1.01|    0.10|    0.09|   10.58|    0.42|    0.39|    2.395|    0.010|    0.010|    0.00086|    0.00003|    0.00003|4672| 93|-0.25| 0.06|    1.03|    0.10|    0.09|   10.63|    0.42|    0.39|    2.397|    0.011|    0.011|    0.00085|    0.00003|    0.00003|297.233610|+46.293190
 9542075|  1|  0|J19501297+4608444|80.061| 9.927| 5172|   91| 4827|   80| 4.00| 0.11| 29.16| 1.55|KASC,RC,PUBLIC                               |4739|106|-0.55| 0.07|    0.86|    0.11|    0.05|    9.98|    0.44|    0.28|    2.377|    0.015|    0.014|    0.00087|    0.00003|    0.00003|4753|106|-0.64| 0.07|    0.84|    0.12|    0.06|    9.91|    0.48|    0.31|    2.375|    0.016|    0.014|    0.00087|    0.00003|    0.00003|297.554050|+46.145672
 9846877|  1|  0|J19503467+4640291|80.561|10.130| 4921|   77| 4711|   71| 4.39| 0.13| 36.80| 0.95|RC,PUBLIC                                    |4641| 82| 0.05| 0.05|    1.04|    0.20|    0.14|    9.96|    0.79|    0.59|    2.461|    0.010|    0.011|    0.00105|    0.00006|    0.00006|4681| 82| 0.08| 0.05|    1.04|    0.23|    0.16|    9.95|    0.88|    0.65|    2.462|    0.011|    0.011|    0.00105|    0.00006|    0.00006|297.644500|+46.674759
 9906278|  1|  0|J19495143+4643188|80.542|10.261| 4994|   81| 4730|   73| 4.62| 0.11| 44.55| 1.60|SEIS_INTEREST,PUBLIC                         |4641| 80| 0.09| 0.05|    1.52|    0.18|    0.18|   10.95|    0.42|    0.57|    2.543|    0.015|    0.016|    0.00117|    0.00004|    0.00004|4681| 80| 0.14| 0.05|    1.57|    0.16|    0.18|   11.04|    0.41|    0.53|    2.546|    0.015|    0.016|    0.00117|    0.00004|    0.00004|297.464290|+46.721889
 9846355|  1|  0|J19495858+4640059|80.505|10.217| 4699|   87| 4594|   84| 3.91| 0.12| 32.00| 0.93|PUBLIC                                       |4458| 76| 0.19| 0.05|    1.03|    0.15|    0.10|   10.73|    0.64|    0.46|    2.392|    0.012|    0.012|    0.00084|    0.00004|    0.00004|4546| 76| 0.27| 0.05|    1.05|    0.16|    0.11|   10.80|    0.65|    0.46|    2.395|    0.013|    0.011|    0.00084|    0.00004|    0.00004|297.494110|+46.668308
 9785675|  1|  0|J19493887+4634356|80.395|10.222| 4699|   70| 4504|   65| 3.56| 0.11| 24.52| 0.61|PUBLIC                                       |4415| 72| 0.29| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |4515| 72| 0.40| 0.04|        |        |        |        |        |        |         |         |         |           |           |           |297.411960|+46.576569
 9786625|  1|  0|J19504176+4630543|80.429|10.035| 4766|   73| 4553|   67| 4.63| 0.10| 45.84| 1.06|PUBLIC                                       |4511| 81| 0.08| 0.05|    1.55|    0.16|    0.15|   10.93|    0.44|    0.43|    2.550|    0.011|    0.011|    0.00119|    0.00004|    0.00003|4586| 81| 0.14| 0.05|    1.59|    0.15|    0.15|   11.07|    0.41|    0.46|    2.553|    0.012|    0.011|    0.00118|    0.00003|    0.00003|297.674010|+46.515091
 9605294|  1|  0|J19513344+4617498|80.310| 9.799| 4815|   73| 4574|   66| 3.97| 0.12| 30.44| 0.93|PUBLIC                                       |4533| 86|-0.05| 0.06|    0.94|    0.08|    0.05|   10.37|    0.37|    0.30|    2.381|    0.010|    0.011|    0.00084|    0.00003|    0.00003|4602| 86|-0.02| 0.06|    0.96|    0.08|    0.06|   10.43|    0.37|    0.30|    2.384|    0.011|    0.011|    0.00084|    0.00003|    0.00003|297.889340|+46.297180
 9604524|  1|  0|J19504457+4615343|80.207| 9.903| 4836|   75| 4696|   71| 4.64| 0.10| 46.70| 1.05|RC,PUBLIC                                    |4608| 76| 0.19| 0.05|    1.68|    0.17|    0.14|   11.23|    0.44|    0.39|    2.562|    0.010|    0.011|    0.00118|    0.00003|    0.00003|4657| 76| 0.26| 0.05|    1.72|    0.17|    0.12|   11.32|    0.45|    0.28|    2.564|    0.010|    0.010|    0.00118|    0.00003|    0.00003|297.685730|+46.259529
 9726814|  1|  0|J19511574+4625159|80.394| 9.904| 4676|   70| 4488|   65| 4.67| 0.10| 46.12| 1.23|PUBLIC                                       |4487| 76| 0.18| 0.05|    1.50|    0.16|    0.15|   10.75|    0.45|    0.44|    2.550|    0.012|    0.013|    0.00121|    0.00004|    0.00004|4568| 76| 0.27| 0.05|    1.58|    0.16|    0.17|   10.97|    0.43|    0.50|    2.555|    0.012|    0.013|    0.00120|    0.00004|    0.00003|297.815610|+46.421108
 9847893|  1|  0|J19513798+4640198|80.648| 9.971| 5298|   87| 5027|   79| 3.68| 0.09| 23.70| 1.55|PUBLIC                                       |4808|101|-0.44| 0.07|        |        |        |        |        |        |         |         |         |           |           |           |4804|101|-0.52| 0.07|        |        |        |        |        |        |         |         |         |           |           |           |297.908260|+46.672192
 9787503|  1|  0|J19514121+4633272|80.551| 9.907| 4828|   80| 4575|   72| 3.96| 0.09| 32.48| 1.84|PUBLIC                                       |4479| 74| 0.24| 0.05|    1.04|    0.21|    0.12|   10.68|    0.72|    0.49|    2.401|    0.023|    0.016|    0.00086|    0.00003|    0.00003|4562| 74| 0.34| 0.05|    1.03|    0.26|    0.12|   10.65|    0.86|    0.46|    2.402|    0.026|    0.017|    0.00086|    0.00003|    0.00003|297.921750|+46.557560
 9666718|  1|  0|J19522027+4622441|80.449| 9.721| 4338|   65| 4109|   59| 1.25| 0.03|  7.61| 0.36|KASC,GO,PUBLIC,LUMINOUS_RGB                  |4136| 88|-0.11| 0.06|    1.14|    0.16|    0.19|   23.63|    1.27|    1.42|    1.746|    0.021|    0.021|    0.00009|    0.00000|    0.00000|4293| 88|-0.05| 0.06|    1.25|    0.22|    0.23|   24.42|    1.49|    1.74|    1.758|    0.021|    0.025|    0.00009|    0.00000|    0.00000|298.084500|+46.378929
 9727392|  1|  0|J19515173+4629559|80.514| 9.852| 5191|   87| 4892|   77| 4.42| 0.09| 39.26| 1.06|RC,PUBLIC                                    |4744| 89|-0.13| 0.06|    1.31|    0.11|    0.17|   10.72|    0.33|    0.57|    2.493|    0.012|    0.015|    0.00107|    0.00003|    0.00003|4757| 89|-0.15| 0.06|    1.31|    0.11|    0.17|   10.72|    0.34|    0.57|    2.494|    0.012|    0.015|    0.00107|    0.00003|    0.00003|297.965550|+46.498859
 9728284|  1|  0|J19525166+4629539|80.599| 9.701| 4918|   81| 4671|   73| 4.88| 0.11| 48.33| 1.94|PUBLIC                                       |4550| 86|-0.06| 0.06|    1.41|    0.22|    0.18|   10.22|    0.56|    0.51|    2.567|    0.018|    0.019|    0.00132|    0.00004|    0.00004|4614| 86|-0.03| 0.06|    1.47|    0.23|    0.20|   10.40|    0.58|    0.53|    2.573|    0.019|    0.019|    0.00131|    0.00004|    0.00004|298.215270|+46.498310
